age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
32,self-employed,divorced,tertiary,no,3695,1,0,cellular,15,may,34,1,353,3,other,0
31,blue-collar,married,secondary,no,604,1,0,cellular,17,apr,99,2,150,2,failure,0
50,blue-collar,married,primary,no,226,1,0,cellular,15,may,98,1,330,5,failure,0
36,technician,married,secondary,no,0,1,0,cellular,6,apr,583,3,335,2,other,0
33,management,married,secondary,no,-224,1,0,cellular,14,may,152,2,259,8,other,0
41,services,married,primary,no,4903,1,0,cellular,18,may,155,1,180,2,failure,0
29,blue-collar,married,secondary,no,-114,1,0,cellular,15,may,132,2,359,2,failure,0
55,technician,divorced,tertiary,no,0,0,0,cellular,17,nov,134,2,91,1,success,1
28,technician,single,tertiary,no,0,1,0,cellular,12,aug,150,1,79,3,success,0
28,blue-collar,married,secondary,no,1137,0,0,cellular,6,feb,129,4,211,3,other,0
30,blue-collar,single,secondary,no,228,0,0,cellular,5,feb,232,1,365,1,failure,0
35,blue-collar,divorced,secondary,no,164,1,0,cellular,18,may,11,5,364,13,failure,0
27,management,single,tertiary,no,6791,0,0,telephone,22,mar,174,2,229,28,success,0
25,student,single,tertiary,no,938,1,0,cellular,14,may,36,1,352,1,other,0
44,blue-collar,married,primary,no,953,1,0,cellular,11,may,772,2,357,1,failure,0
33,management,single,tertiary,no,224,0,0,cellular,23,sep,409,2,92,4,success,1
40,technician,married,secondary,no,0,1,1,cellular,26,jul,105,2,172,1,failure,0
38,technician,married,secondary,no,525,1,1,telephone,18,may,15,7,178,1,other,0
38,admin.,divorced,secondary,no,1533,1,0,cellular,12,may,366,1,172,4,success,0
34,technician,single,secondary,no,827,1,0,cellular,6,may,254,1,267,4,failure,0
35,management,single,tertiary,no,1494,1,0,cellular,6,may,311,1,169,2,success,0
46,blue-collar,married,primary,no,-175,1,1,cellular,17,apr,250,1,324,2,failure,0
38,admin.,married,tertiary,no,1988,0,0,cellular,2,jun,103,1,67,4,success,1
39,admin.,single,secondary,no,782,1,0,cellular,5,may,542,4,47,11,other,0
33,services,single,secondary,no,450,1,0,cellular,15,may,148,2,365,2,other,0
35,management,married,tertiary,no,1041,0,0,cellular,18,nov,586,1,120,3,other,0
30,technician,single,tertiary,no,655,0,0,cellular,26,apr,212,1,202,2,success,1
46,admin.,married,secondary,no,4958,1,0,cellular,17,nov,64,3,150,5,other,0
32,services,married,secondary,no,1844,1,1,cellular,3,feb,158,4,201,6,failure,0
34,management,single,tertiary,no,1494,1,0,cellular,18,nov,596,1,182,1,other,1
58,management,married,tertiary,no,256,0,0,cellular,10,dec,422,1,188,3,success,1
41,entrepreneur,married,tertiary,no,121,1,0,cellular,5,may,456,1,287,1,failure,0
44,management,divorced,tertiary,no,2367,0,0,cellular,22,sep,263,1,184,6,success,1
36,blue-collar,single,primary,no,90,1,0,cellular,18,may,50,2,360,1,failure,0
31,services,single,secondary,no,1192,1,0,cellular,7,may,156,2,349,2,other,0
38,technician,single,secondary,no,553,1,0,cellular,15,may,178,2,270,8,other,0
34,technician,married,secondary,no,133,0,0,cellular,15,nov,401,2,187,5,success,1
54,management,divorced,tertiary,no,5475,0,0,cellular,21,oct,1032,1,91,4,success,1
40,technician,single,tertiary,no,1646,1,0,cellular,4,aug,173,1,92,5,success,1
32,blue-collar,married,secondary,no,25,1,0,cellular,6,may,28,2,345,3,other,0
32,management,single,tertiary,no,2915,0,0,cellular,8,sep,519,1,131,2,failure,1
25,technician,single,secondary,no,7103,1,0,cellular,28,may,188,3,10,1,failure,1
